,B365H,B365D,B365A,H,D,A,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamPoints,AwayTeamPoints,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamLostLast,AwayTeamLostLast
0,1.73,3.8,5.5,1,0,0,9.0,7.0,6.0,2.0,10.0,4.0,4,0,7.0,1.0,4.0,5.0,1.0,0.0
1,1.67,3.5,5.5,1,0,0,10.0,9.0,8.0,10.0,4.0,10.0,0,0,5.0,8.0,8.0,4.0,0.0,0.0
2,1.95,3.0,4.5,0,0,1,9.0,6.0,5.0,8.0,4.0,9.0,2,7,2.0,8.0,6.0,5.0,1.0,1.0
3,1.73,3.6,4.75,0,0,1,5.0,8.0,6.0,3.0,7.0,5.0,2,0,7.0,3.0,7.0,6.0,1.0,0.0
4,1.72,4.0,4.5,1,0,0,9.0,6.0,13.0,6.0,1.0,5.0,0,3,5.0,8.0,11.0,10.0,0.0,1.0
5,1.85,3.25,4.6,1,0,0,2.0,7.0,3.0,7.0,7.0,9.0,1,1,8.0,10.0,8.0,9.0,1.0,1.0
6,1.62,3.8,5.5,1,0,0,10.0,8.0,12.0,9.0,8.0,4.0,4,1,9.0,5.0,5.0,8.0,1.0,1.0
7,1.66,3.4,4.5,0,1,0,1.6666666666666667,3.3333333333333335,0.0,6.666666666666667,4.0,7.0,1,1,3.0,4.0,6.0,7.0,1.0,1.0
8,1.75,3.4,5.0,0,1,0,12.0,2.5,9.0,6.25,10.0,4.0,0,1,8.0,5.0,3.0,9.0,0.0,1.0
9,1.9,3.1,4.75,0,1,0,7.0,4.0,5.0,2.0,4.0,1.0,1,0,6.0,3.0,12.0,8.0,1.0,0.0
10,1.57,3.6,5.0,1,0,0,10.0,3.0,14.0,1.0,5.0,1.0,0,0,12.0,3.0,14.0,9.0,0.0,0.0
11,1.66,3.6,5.0,0,1,0,3.0,6.0,4.0,2.0,1.0,4.0,0,1,2.0,5.0,8.0,7.0,0.0,1.0
12,1.72,3.3,5.5,1,0,0,10.0,6.0,10.0,5.0,7.0,3.0,0,1,6.0,1.0,8.0,4.0,0.0,1.0
13,1.7,3.3,5.5,1,0,0,6.0,5.0,5.0,6.0,3.0,4.0,0,1,5.0,3.0,11.0,7.0,0.0,1.0
14,1.73,3.4,5.25,1,0,0,9.0,2.0,6.0,6.0,4.0,5.0,0,0,4.0,5.0,4.0,5.0,0.0,0.0
15,1.67,3.6,5.5,0,0,1,6.0,4.0,9.0,2.0,5.0,1.0,1,1,5.0,5.0,5.0,12.0,1.0,1.0
16,1.8,3.3,5.0,1,0,0,8.0,9.0,10.0,4.0,6.0,5.0,2,1,10.0,6.0,7.0,7.0,1.0,1.0
17,1.57,3.4,5.5,1,0,0,7.0,7.0,4.0,2.0,8.0,2.0,4,1,7.0,6.0,5.0,14.0,1.0,1.0
18,1.53,4.33,5.5,0,0,1,15.0,13.0,17.0,6.0,15.0,7.0,17,3,14.0,7.0,4.0,6.0,1.0,1.0
19,1.67,4.0,5.0,0,1,0,13.0,12.0,15.0,13.0,10.0,12.0,3,3,11.0,15.0,4.0,5.0,1.0,1.0
20,1.65,3.75,5.5,1,0,0,7.0,5.0,9.0,8.0,6.0,10.0,0,2,7.0,10.0,7.0,8.0,0.0,1.0
21,1.95,3.4,4.5,1,0,0,9.0,6.0,7.0,1.0,5.0,2.0,0,0,3.0,2.0,7.0,6.0,0.0,0.0
22,1.73,3.6,4.75,1,0,0,8.0,5.0,6.0,2.0,5.0,2.0,0,0,6.0,1.0,7.0,6.0,0.0,0.0
23,1.8,3.4,4.5,0,1,0,13.0,9.0,12.0,6.0,9.0,8.0,0,0,11.0,5.0,10.0,5.0,0.0,0.0
24,1.66,3.2,5.0,0,0,1,10.0,12.0,12.0,3.0,6.0,11.0,3,5,5.0,7.0,5.0,2.0,1.0,1.0
25,1.73,3.5,5.0,0,0,1,6.0,6.0,8.0,7.0,2.0,3.0,0,0,6.0,4.0,12.0,8.0,0.0,0.0
26,1.83,3.25,4.75,0,0,1,10.0,5.0,9.0,6.0,3.0,6.0,0,0,6.0,8.0,7.0,10.0,0.0,0.0
27,1.62,3.8,5.5,0,0,1,6.0,6.0,7.0,4.0,9.0,5.0,6,0,10.0,6.0,8.0,16.0,1.0,0.0
28,1.66,3.2,5.0,1,0,0,13.0,13.0,10.0,1.0,11.0,7.0,12,1,10.0,3.0,4.0,3.0,1.0,1.0
29,1.8,3.3,4.75,1,0,0,9.0,7.0,7.0,9.0,8.0,4.0,4,0,8.0,8.0,6.0,10.0,1.0,0.0
