,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
0,I1,Benevento,Chievo,1.0,0.0,H,3.2,3.29,2.29,19,19,3.0,4.0,8.0,10.0,0,0,1.0,4.0,0.0,0.0,10,10,5.0,2.0,1.0,5.0
1,F1,Toulouse,Nice,2.0,2.0,D,2.2,3.0,3.6,19,19,6.0,4.0,3.0,4.0,3,0,8.0,7.0,1.0,0.0,10,10,5.0,6.0,8.0,8.0
2,SP1,Sevilla,Getafe,3.0,0.0,H,1.53,4.2,5.75,18,18,12.0,4.0,4.0,14.0,5,0,13.0,4.0,1.0,0.0,9,9,9.0,6.0,10.0,7.0
3,E0,Everton,Burnley,1.0,0.0,H,1.73,3.8,5.5,33,33,7.0,1.0,4.0,5.0,4,0,10.0,4.0,1.0,0.0,16,16,6.0,2.0,9.0,7.0
4,F1,Marseille,Rennes,3.0,1.0,H,1.91,3.25,4.2,4,4,6.666666666666667,5.0,0.0,6.666666666666667,3,1,15.0,5.0,1.0,1.0,2,2,10.0,0.0,15.0,0.0
5,F1,Nice,Lorient,1.0,2.0,A,2.5,3.1,2.9,33,33,5.0,3.0,3.0,5.0,1,2,8.0,5.0,1.0,1.0,17,17,3.0,4.0,7.0,5.0
6,F1,Monaco,Sochaux,2.0,1.0,H,1.22,6.0,13.0,28,28,8.0,6.0,7.0,4.0,0,3,8.0,10.0,0.0,1.0,14,15,8.0,3.0,10.0,12.0
7,E0,Norwich,West Brom,0.0,1.0,A,2.4,3.3,3.25,33,32,6.0,6.0,12.0,10.0,0,1,4.0,5.0,0.0,1.0,17,16,4.0,6.0,9.0,4.0
8,E0,Newcastle,West Ham,2.0,0.0,H,1.83,4.0,4.33,38,38,5.0,2.0,12.0,5.0,0,0,1.0,4.0,0.0,0.0,19,19,5.0,1.0,1.0,7.0
9,D1,Werder Bremen,Schalke 04,0.0,0.0,D,1.9,3.25,3.5,31,31,11.0,4.0,4.0,9.0,4,2,10.0,3.0,1.0,1.0,16,16,10.0,5.0,9.0,8.0
10,N1,Willem II,Groningen,1.0,2.0,A,2.5,3.25,2.6,28,28,3.0,10.0,5.0,8.0,2,0,5.0,7.0,1.0,0.0,14,14,11.0,11.0,9.0,13.0
11,I1,Napoli,Lecce,4.0,2.0,H,1.36,4.5,9.0,13,13,7.0,3.0,6.0,6.0,3,0,6.0,4.0,1.0,0.0,7,7,6.0,2.0,6.0,1.0
12,D1,Cottbus,Bielefeld,1.0,0.0,H,2.2,3.25,3.3,28,28,6.0,5.0,4.0,6.0,2,4,9.0,6.0,1.0,1.0,15,14,6.0,5.0,6.0,4.0
13,SP1,Betis,Ath Madrid,1.0,0.0,H,1.9,3.25,3.4,17,17,7.0,7.0,6.0,5.0,0,1,9.0,9.0,0.0,1.0,9,9,8.0,4.0,11.0,13.0
14,N1,Ajax,Twente,1.0,0.0,H,1.95,3.4,3.5,34,34,12.0,9.0,12.0,5.0,0,2,7.0,8.0,0.0,1.0,17,17,15.0,6.0,13.0,13.0
15,SP1,Villarreal,Espanol,4.0,1.0,H,1.83,3.25,3.75,28,28,7.0,8.0,7.0,5.0,2,3,7.0,10.0,1.0,1.0,14,15,13.0,4.0,15.0,11.0
16,E0,Man United,Portsmouth,2.0,0.0,H,1.25,5.5,13.0,32,33,8.0,6.0,10.0,4.0,2,5,9.0,9.0,1.0,1.0,16,16,10.0,5.0,12.0,6.0
17,F1,Caen,Marseille,2.0,3.0,A,2.5,3.0,2.62,17,17,3.0,7.0,6.0,6.0,0,1,5.0,7.0,0.0,1.0,9,8,3.0,3.0,6.0,8.0
18,D1,Werder Bremen,Hertha,2.0,0.0,H,2.05,3.5,3.6,31,31,16.0,4.0,7.0,5.0,10,1,13.0,6.0,1.0,1.0,16,16,10.0,2.0,12.0,12.0
19,D1,FC Koln,Hoffenheim,1.0,3.0,A,3.0,3.5,2.25,14,14,6.0,13.0,8.0,5.0,0,1,6.0,12.0,0.0,1.0,7,7,4.0,14.0,9.0,13.0
20,SP1,Sevilla,Betis,5.0,1.0,H,1.67,3.5,5.5,12,12,5.0,8.0,8.0,4.0,0,0,4.0,10.0,0.0,0.0,6,6,8.0,10.0,10.0,9.0
21,D1,Hannover,Freiburg,1.0,2.0,A,2.1,3.4,3.4,12,12,10.0,6.0,9.0,3.0,2,2,7.0,8.0,1.0,1.0,7,6,12.0,4.0,10.0,7.0
22,I1,Sampdoria,Milan,0.0,0.0,D,3.6,3.25,2.1,20,20,5.0,15.0,9.0,9.0,1,1,4.0,12.0,1.0,1.0,10,10,5.0,13.0,6.0,12.0
23,I1,Siena,Parma,1.0,1.0,D,2.2,3.2,3.4,27,27,5.0,3.0,5.0,7.0,3,1,7.0,4.0,1.0,1.0,14,14,5.0,2.0,5.0,5.0
24,E0,Liverpool,Birmingham,2.0,2.0,D,1.36,4.5,10.0,12,12,9.0,5.0,7.0,8.0,0,2,6.0,4.0,0.0,1.0,6,6,17.0,4.0,12.0,7.0
25,F1,Guingamp,Toulouse,2.0,1.0,H,2.5,3.2,3.0,37,37,5.0,7.0,8.0,7.0,0,1,7.0,10.0,0.0,1.0,19,19,4.0,5.0,4.0,10.0
26,I1,Atalanta,Sassuolo,0.0,2.0,A,1.8,3.6,4.33,32,32,10.0,4.0,1.0,6.0,7,0,15.0,4.0,1.0,0.0,16,16,10.0,3.0,12.0,3.0
27,F1,Sochaux,Paris SG,1.0,2.0,A,2.2,3.0,3.1,18,18,7.0,4.0,4.0,6.0,1,3,8.0,6.0,1.0,1.0,10,10,9.0,4.0,10.0,11.0
28,I1,Cagliari,Sampdoria,3.0,1.0,H,2.25,3.1,3.4,28,28,11.0,6.0,9.0,1.0,0,6,10.0,11.0,0.0,1.0,14,14,9.0,3.0,8.0,10.0
29,SP1,Espanol,Malaga,0.0,0.0,D,2.8,3.3,2.5,9,9,7.0,10.0,8.0,4.0,2,1,5.0,10.0,1.0,1.0,5,5,8.75,3.75,5.0,12.5
30,SP1,Ath Bilbao,Zaragoza,0.0,0.0,D,2.62,3.2,2.62,16,16,10.0,7.0,10.0,4.0,2,0,6.0,7.0,1.0,0.0,8,8,6.0,8.0,4.0,10.0
31,I1,Lazio,Chievo,3.0,0.0,H,1.67,3.75,5.0,3,3,7.5,5.0,12.5,10.0,0,0,7.5,2.5,0.0,0.0,2,2,10.0,0.0,15.0,0.0
32,F1,Lille,Ajaccio,4.0,1.0,H,1.3,5.0,11.0,32,32,11.0,4.0,6.0,3.0,0,5,9.0,7.0,0.0,1.0,16,16,15.0,4.0,10.0,9.0
33,F1,Valenciennes,St Etienne,2.0,0.0,H,2.15,3.0,3.75,20,20,6.0,4.0,1.0,5.0,0,0,8.0,7.0,0.0,0.0,10,11,10.0,7.0,13.0,10.0
34,F1,Montpellier,Lille,0.0,1.0,A,2.88,3.2,2.5,10,10,8.0,8.0,4.0,2.0,7,4,7.0,10.0,1.0,1.0,6,5,8.0,3.75,9.0,11.25
35,E0,Bournemouth,Crystal Palace,2.0,2.0,D,2.5,3.39,3.0,33,33,8.0,6.0,10.0,8.0,2,0,6.0,3.0,1.0,0.0,17,17,9.0,6.0,10.0,4.0
36,F1,Lille,Marseille,1.0,1.0,D,2.5,3.0,3.0,16,16,2.0,7.0,7.0,4.0,0,3,4.0,10.0,0.0,1.0,8,9,5.0,4.0,5.0,10.0
37,I1,Brescia,Messina,2.0,1.0,H,1.36,4.0,7.5,37,37,9.0,8.0,9.0,7.0,1,1,8.0,8.0,1.0,1.0,19,19,5.0,5.0,6.0,11.0
38,SP1,Espanol,Sociedad,1.0,2.0,A,2.2,3.4,3.2,15,15,5.0,15.0,8.0,10.0,1,1,4.0,10.0,1.0,1.0,8,8,5.0,6.0,7.0,11.0
39,SP1,La Coruna,Eibar,2.0,0.0,H,2.0,3.3,4.0,16,16,8.0,6.0,4.0,7.0,6,1,9.0,5.0,1.0,1.0,8,8,9.0,7.0,9.0,8.0
40,E0,Liverpool,Wigan,3.0,0.0,H,1.53,3.5,7.0,14,14,10.0,8.0,0.0,5.0,5,0,15.0,9.0,1.0,0.0,7,6,7.0,7.0,10.0,10.0
41,F1,Marseille,Lorient,2.0,3.0,A,1.4,4.33,8.5,14,14,12.0,10.0,7.0,6.0,3,0,10.0,7.0,1.0,0.0,7,7,9.0,8.0,10.0,5.0
42,N1,Groningen,Utrecht,3.0,0.0,H,2.75,3.2,2.25,8,8,6.0,10.0,10.0,3.0,0,6,3.0,13.0,0.0,1.0,4,4,3.3333333333333335,10.0,3.3333333333333335,15.0
43,N1,AZ Alkmaar,Vitesse,2.0,1.0,H,1.8,3.5,4.0,31,31,3.0,10.0,4.0,12.0,2,1,4.0,5.0,1.0,1.0,16,16,1.0,5.0,2.0,6.0
44,E0,Everton,Newcastle,3.0,0.0,H,2.1,3.25,3.4,21,21,6.0,9.0,5.0,6.0,2,0,7.0,9.0,1.0,0.0,11,11,5.0,5.0,7.0,12.0
45,F1,Bordeaux,Nantes,2.0,0.0,H,2.0,3.25,4.2,4,4,3.3333333333333335,3.3333333333333335,5.0,0.0,2,3,3.3333333333333335,11.666666666666666,1.0,1.0,2,2,5.0,0.0,0.0,15.0
46,I1,Torino,Roma,0.0,0.0,D,4.75,3.2,1.83,16,16,2.0,8.0,6.0,4.0,0,9,4.0,11.0,0.0,1.0,8,9,5.0,8.0,8.0,13.0
47,SP1,Sevilla,Osasuna,1.0,1.0,D,1.36,4.5,9.0,17,17,5.0,13.0,6.0,11.0,3,1,8.0,7.0,1.0,1.0,9,9,2.0,3.0,7.0,8.0
48,E0,QPR,Stoke,1.0,0.0,H,1.83,3.75,4.2,37,37,5.0,5.0,9.0,7.0,0,2,6.0,6.0,0.0,1.0,19,19,10.0,2.0,13.0,9.0
49,I1,Atalanta,Genoa,1.0,0.0,H,2.1,3.3,3.5,23,23,2.0,12.0,6.0,15.0,1,0,4.0,9.0,1.0,0.0,12,12,5.0,6.0,5.0,12.0
50,F1,Guingamp,Rennes,2.0,0.0,H,2.15,3.1,3.6,9,9,7.0,3.0,6.0,3.0,0,0,5.0,6.0,0.0,0.0,5,5,11.25,3.75,8.75,8.75
51,SP1,Espanol,Ath Madrid,1.0,0.0,H,5.25,3.6,1.67,9,9,6.0,11.0,8.0,4.0,0,8,6.0,15.0,0.0,1.0,5,5,7.5,10.0,8.75,15.0
52,F1,Lens,Le Mans,2.0,0.0,H,1.72,3.4,4.33,33,33,2.0,7.0,5.0,5.0,1,1,2.0,8.0,1.0,1.0,17,16,10.0,5.0,6.0,12.0
53,SP1,Sociedad,Osasuna,2.0,0.0,H,1.72,3.25,4.33,30,29,8.0,2.0,8.0,12.0,2,0,7.0,2.0,1.0,0.0,15,15,8.0,5.0,10.0,2.0
54,SP1,Getafe,Ath Madrid,1.0,2.0,A,2.9,3.25,2.4,4,4,5.0,15.0,3.3333333333333335,3.3333333333333335,3,1,8.333333333333334,10.0,1.0,1.0,2,2,0.0,5.0,5.0,15.0
55,N1,Cambuur,Twente,1.0,1.0,D,4.2,3.75,1.8,1,1,1.0,1.0,1.0,1.0,0,0,1.0,1.0,,,1,1,1.0,1.0,1.0,1.0
56,F1,Istres,Lille,0.0,2.0,A,3.1,3.0,2.2,13,13,2.0,8.0,4.0,2.0,3,1,4.0,12.0,1.0,1.0,6,6,1.0,3.0,2.0,13.0
57,F1,Caen,Nancy,1.0,0.0,H,2.15,3.2,3.75,26,26,2.0,2.0,8.0,10.0,0,0,4.0,3.0,0.0,0.0,13,14,9.0,3.0,7.0,7.0
58,N1,AZ Alkmaar,Groningen,2.0,0.0,H,1.73,4.0,4.2,21,20,5.0,9.0,10.0,8.0,0,2,3.0,5.0,0.0,1.0,11,11,9.0,8.0,7.0,5.0
59,I1,Torino,Livorno,1.0,2.0,A,1.95,3.0,4.5,18,17,2.0,8.0,6.0,5.0,2,7,4.0,9.0,1.0,1.0,9,9,5.0,8.0,9.0,6.0
60,F1,Le Mans,Marseille,1.0,2.0,A,4.2,3.25,1.91,5,5,6.25,5.0,8.75,1.25,0,4,5.0,10.0,0.0,1.0,3,3,10.0,7.5,10.0,10.0
61,D1,Hoffenheim,Mainz,0.0,1.0,A,1.73,3.6,4.75,25,25,7.0,3.0,7.0,6.0,2,0,7.0,5.0,1.0,0.0,12,13,6.0,3.0,5.0,8.0
62,N1,AZ Alkmaar,Groningen,3.0,2.0,H,1.25,5.75,11.0,28,28,8.0,5.0,5.0,3.0,0,5,10.0,7.0,0.0,1.0,14,14,8.0,3.0,8.0,7.0
63,D1,Nurnberg,Kaiserslautern,1.0,0.0,H,2.0,3.3,3.8,14,14,4.0,5.0,14.0,5.0,0,0,1.0,8.0,0.0,0.0,7,8,8.0,4.0,6.0,7.0
64,E0,Stoke,Aston Villa,0.0,0.0,D,1.91,3.4,4.2,18,18,8.0,3.0,6.0,6.0,0,0,12.0,4.0,0.0,0.0,9,9,10.0,5.0,9.0,6.0
65,F1,Monaco,Le Mans,2.0,1.0,H,1.9,3.0,3.8,8,8,5.0,8.0,7.0,8.0,0,3,4.0,8.0,0.0,1.0,4,4,6.666666666666667,6.666666666666667,5.0,11.666666666666666
66,I1,Sampdoria,Spal,2.0,0.0,H,1.72,4.0,4.5,18,19,5.0,8.0,11.0,10.0,0,3,1.0,5.0,0.0,1.0,9,10,13.0,6.0,9.0,6.0
67,D1,FC Koln,Bayern Munich,1.0,3.0,A,11.0,6.5,1.25,33,33,6.0,22.0,14.0,3.0,0,5,2.0,15.0,0.0,1.0,17,17,8.0,14.0,6.0,13.0
68,I1,Catania,Cagliari,0.0,0.0,D,1.91,3.3,4.2,31,31,8.0,9.0,8.0,8.0,0,3,6.0,10.0,0.0,1.0,16,16,9.0,7.0,12.0,11.0
