,OddsH,OddsD,OddsA
0,1.73,3.8,5.5
1,1.67,3.5,5.5
2,1.95,3.0,4.5
3,1.73,3.6,4.75
4,1.72,4.0,4.5
5,1.85,3.25,4.6
6,1.62,3.8,5.5
7,1.66,3.4,4.5
8,1.75,3.4,5.0
9,1.9,3.1,4.75
10,1.57,3.6,5.0
11,1.66,3.6,5.0
12,1.72,3.3,5.5
13,1.7,3.3,5.5
14,1.73,3.4,5.25
15,1.67,3.6,5.5
16,1.8,3.3,5.0
17,1.57,3.4,5.5
18,1.53,4.33,5.5
19,1.67,4.0,5.0
20,1.65,3.75,5.5
21,1.95,3.4,4.5
22,1.73,3.6,4.75
23,1.8,3.4,4.5
24,1.66,3.2,5.0
25,1.73,3.5,5.0
26,1.83,3.25,4.75
27,1.62,3.8,5.5
28,1.66,3.2,5.0
29,1.8,3.3,4.75
30,1.72,3.4,5.0
31,1.67,3.8,5.0
32,1.6,3.8,5.5
33,1.75,3.75,5.5
34,1.72,3.2,4.5
35,1.62,4.0,5.5
36,1.61,3.39,5.0
37,1.53,3.6,5.0
38,1.8,3.4,4.5
39,1.75,3.4,5.0
40,1.57,4.0,5.5
41,1.7,3.5,5.5
42,1.75,3.8,5.25
43,1.7,3.8,5.0
44,1.6,3.6,5.25
45,1.61,3.5,4.5
46,1.8,3.6,4.5
47,1.8,3.2,4.75
48,1.83,3.25,4.75
49,1.85,3.6,4.75
50,1.8,3.3,4.75
51,1.62,4.0,5.25
52,1.75,3.39,5.5
53,1.91,3.5,4.75
54,1.72,3.2,4.5
55,1.8,3.5,4.75
56,1.66,3.6,5.5
57,1.75,4.2,4.6
58,1.8,3.4,4.5
59,1.67,4.0,4.75
60,1.67,3.6,5.25
61,1.85,3.29,4.75
62,1.85,3.6,4.75
63,1.67,4.0,4.75
64,1.83,3.4,4.5
65,1.67,3.8,5.5
66,1.62,4.0,5.5
67,1.75,3.5,4.75
68,1.8,3.5,4.75
69,1.62,4.0,5.5
70,1.83,3.1,4.75
71,1.67,3.8,5.0
72,1.66,3.4,4.5
73,1.66,4.33,4.5
74,1.83,3.75,4.75
75,1.66,3.79,5.25
76,1.57,3.8,5.5
77,1.62,4.0,5.5
78,1.75,3.3,5.25
79,1.67,4.1,4.5
80,1.62,3.75,5.5
81,3.0,1.8,5.0
82,1.57,3.4,5.5
83,1.62,3.75,5.5
84,1.75,3.6,5.0
85,1.67,3.75,5.0
86,1.61,3.6,5.5
87,1.57,4.0,5.5
88,1.66,3.75,5.0
89,1.72,3.4,5.0
90,1.8,3.6,4.5
91,1.66,3.6,5.5
92,1.57,3.8,5.5
93,1.5,3.75,5.5
94,1.8,3.3,4.75
95,1.83,3.1,5.0
96,1.83,3.6,5.0
97,1.67,3.75,5.0
98,1.83,3.5,4.5
99,1.57,3.6,5.0
100,1.85,3.2,4.75
101,3.0,1.73,5.0
102,1.57,3.8,5.5
103,1.61,3.2,5.5
104,1.57,3.4,5.0
105,1.66,3.2,5.0
106,1.65,3.75,5.25
107,1.57,3.5,5.0
108,1.72,3.5,5.0
109,1.85,3.8,4.5
110,1.83,3.5,4.5
111,1.66,3.6,5.0
112,3.1,1.66,5.0
113,1.75,3.3,5.0
114,1.62,4.2,4.75
115,1.8,3.5,4.5
116,1.83,3.1,5.0
117,1.62,3.75,5.5
118,1.75,3.75,5.25
119,1.85,3.2,4.75
120,1.66,3.6,5.25
121,1.62,4.0,5.5
122,1.66,3.2,5.0
123,1.8,3.5,4.5
124,1.57,4.0,5.5
125,1.7,3.75,5.0
126,1.67,3.5,5.5
127,1.65,4.2,4.5
128,1.83,3.5,4.5
129,1.95,3.2,4.5
130,1.62,4.0,5.25
131,1.7,3.4,5.5
132,1.8,3.5,4.75
133,1.57,4.0,5.5
134,1.57,3.5,5.0
135,1.8,3.5,4.75
136,1.85,3.75,4.6
137,1.7,3.75,4.75
138,1.72,3.5,5.0
139,1.67,3.75,5.5
140,1.7,3.1,5.0
141,1.8,3.6,4.5
142,1.67,3.8,5.5
143,1.67,3.75,5.0
144,1.72,3.0,4.75
145,1.66,3.4,5.5
146,1.83,3.5,4.5
147,1.7,3.5,5.25
148,1.8,3.5,4.75
149,1.73,3.5,5.0
150,1.62,3.75,5.5
151,1.57,3.8,5.5
152,1.73,3.6,4.75
153,1.83,3.4,4.5
154,1.67,3.6,5.25
155,1.9,3.2,4.5
156,1.83,3.25,5.0
157,1.8,3.2,4.75
158,1.66,3.4,5.5
159,1.66,3.4,4.5
160,1.72,3.0,5.0
161,1.7,4.0,5.5
162,1.73,3.5,5.0
163,1.7,3.75,4.75
164,1.61,3.6,4.5
165,1.83,3.5,4.5
166,1.73,3.6,4.75
167,1.91,3.2,4.75
168,1.72,3.2,4.5
169,1.73,3.5,5.0
170,1.8,3.7,4.5
171,1.62,4.2,4.75
172,1.67,3.8,5.5
173,1.9,3.0,4.75
174,1.73,3.75,4.5
175,1.8,3.2,5.0
176,1.61,3.79,5.5
177,1.73,3.6,5.0
178,1.72,2.87,5.0
179,1.7,4.0,5.5
180,1.67,3.5,5.5
181,1.83,3.5,4.5
182,1.72,3.4,5.0
183,1.57,3.8,5.5
184,1.62,4.0,5.5
185,1.66,3.25,5.0
186,1.8,3.5,4.5
187,1.91,3.2,4.75
188,1.73,3.5,5.0
189,1.73,3.6,5.25
190,1.75,3.4,4.75
191,1.8,3.25,5.0
192,1.73,3.6,5.25
193,1.66,3.4,5.5
194,1.73,3.5,5.0
195,1.8,3.25,5.0
196,1.57,4.33,5.5
197,1.75,3.5,4.5
198,1.72,3.4,5.0
199,1.9,3.0,4.5
200,1.67,3.75,5.5
201,1.75,3.39,5.5
202,1.65,3.8,5.0
203,1.73,3.75,4.5
204,1.72,3.0,5.0
205,1.75,3.6,5.0
206,1.8,3.39,5.0
207,1.72,3.3,5.5
208,1.8,3.6,4.75
209,1.72,3.4,5.0
210,1.75,3.75,4.5
211,1.67,3.8,5.25
212,1.73,3.5,5.0
213,1.8,3.6,4.5
214,1.7,4.0,4.75
215,1.85,3.3,4.5
216,1.83,3.2,4.75
217,1.72,3.6,5.0
218,1.67,3.75,5.0
219,1.62,3.75,5.5
220,1.67,3.75,5.0
221,1.73,3.3,5.5
222,1.61,3.6,5.5
223,1.72,3.4,5.0
224,1.61,3.6,5.5
225,1.73,3.5,5.0
226,1.72,3.0,5.0
227,1.8,3.6,4.75
228,1.73,3.6,4.75
229,1.67,3.75,5.5
230,1.83,3.2,4.75
231,1.75,3.75,4.75
232,1.61,3.8,5.0
233,1.95,3.39,4.5
234,1.66,3.1,5.5
235,1.8,3.5,4.75
236,1.83,3.25,4.75
237,1.75,3.5,4.75
238,1.62,3.8,5.5
239,1.66,3.4,5.5
240,1.85,3.75,4.5
241,1.75,3.5,4.75
242,1.67,3.5,5.5
243,1.7,3.6,5.0
244,1.62,3.75,5.5
245,1.8,3.6,4.5
246,1.62,3.75,5.5
247,1.72,3.6,4.75
248,1.8,3.6,4.5
249,1.8,3.4,4.75
250,1.8,3.2,4.75
251,1.83,3.3,4.75
252,1.73,3.4,5.25
253,1.91,3.3,4.5
